time,jogos,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,posicao_r19,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,percentual_pontos_casa,percentual_pontos_fora,posicao_final,rebaixado,risco_rebaixamento,faixa,principais_fatores
Sao Paulo,19,37,10,7,2,32,15,17,1,2020,0.6491228070175439,17,18,1.9473684210526316,1.6842105263157894,0.7894736842105263,0.8947368421052632,0.7333333333333333,2.0,0.5675675675675675,0.43243243243243246,4.0,0.0,,,
Internacional,19,35,10,5,4,30,16,14,2,2020,0.6140350877192983,15,16,1.8421052631578947,1.5789473684210527,0.8421052631578947,0.7368421052631579,0.6666666666666666,2.0,0.6,0.4,2.0,0.0,,,
Flamengo,19,35,10,5,4,33,25,8,3,2020,0.6140350877192983,15,16,1.8421052631578947,1.736842105263158,1.3157894736842106,0.42105263157894735,0.5333333333333333,-1.0,0.42857142857142855,0.5714285714285714,1.0,0.0,,,
Atletico-MG,19,32,10,2,7,31,25,6,4,2020,0.5614035087719298,12,13,1.6842105263157894,1.631578947368421,1.3157894736842106,0.3157894736842105,0.3333333333333333,-3.0,0.71875,0.28125,3.0,0.0,,,
Fluminense,19,32,9,5,5,29,21,8,5,2020,0.5614035087719298,12,13,1.6842105263157894,1.5263157894736843,1.105263157894737,0.42105263157894735,0.7333333333333333,1.0,0.65625,0.34375,5.0,0.0,,,
Santos,19,30,8,6,5,27,23,4,6,2020,0.5263157894736842,10,11,1.5789473684210527,1.4210526315789473,1.2105263157894737,0.21052631578947367,0.6,1.0,0.5333333333333333,0.4666666666666667,8.0,0.0,,,
Gremio,19,30,7,9,3,23,18,5,7,2020,0.5263157894736842,10,11,1.5789473684210527,1.2105263157894737,0.9473684210526315,0.2631578947368421,0.6666666666666666,3.0,0.6333333333333333,0.36666666666666664,6.0,0.0,,,
Palmeiras,19,29,7,8,4,26,21,5,8,2020,0.5087719298245614,9,10,1.5263157894736843,1.368421052631579,1.105263157894737,0.2631578947368421,0.4,-3.0,0.4827586206896552,0.5172413793103449,7.0,0.0,,,
Fortaleza,19,25,6,7,6,17,14,3,9,2020,0.43859649122807015,5,6,1.3157894736842106,0.8947368421052632,0.7368421052631579,0.15789473684210525,0.3333333333333333,0.0,0.68,0.32,16.0,0.0,,,
Sport,19,24,7,3,9,19,26,-7,10,2020,0.42105263157894735,4,5,1.263157894736842,1.0,1.368421052631579,-0.3684210526315789,0.26666666666666666,-2.0,0.625,0.375,15.0,0.0,,,
Ceara,19,24,6,6,7,24,27,-3,11,2020,0.42105263157894735,4,5,1.263157894736842,1.263157894736842,1.4210526315789473,-0.15789473684210525,0.6,3.0,0.75,0.25,11.0,0.0,,,
Corinthians,19,24,6,6,7,22,26,-4,12,2020,0.42105263157894735,4,5,1.263157894736842,1.1578947368421053,1.368421052631579,-0.21052631578947367,0.6,3.0,0.5416666666666666,0.4583333333333333,12.0,0.0,,,
Bahia,19,22,6,4,9,25,29,-4,13,2020,0.38596491228070173,2,3,1.1578947368421053,1.3157894736842106,1.5263157894736843,-0.21052631578947367,0.4666666666666667,0.0,0.7272727272727273,0.2727272727272727,14.0,0.0,,,
